TableName,CumulativeShare
Inventtrans,0.0921950821855231
Retailtransactionpaymenttrans,0.065436424195275
Retailtransactionsalestrans,0.0614228730733714
Retailtransactiontable,0.0590103773902282
Salesline,0.0462448678389553
Generaljournalaccountentry,0.0407272840667281
Taxtrans,0.0329345330374101
Inventtransposting,0.0275291237788131
Inventtransorigin,0.023979701339669
Taxtransgeneraljournalaccountentry,0.0229997911074454
Custinvoicetrans,0.0220436322646235
Retailtransactiontaxtrans,0.016638148545729
Custtrans,0.0165276894366467
Ledgerjournaltrans,0.0164593684967179
Sourcedocumentline,0.0149264451266301
Inventsettlement,0.0134086297480958
Retaileodtransactiontable,0.0118540406840422
Generaljournalentry,0.01110703591152
Salestable,0.0105058923920663
Inventjournaltrans,0.0096992193609573
Accountingdistribution,0.0096415684914211
Retailsalesline,0.0087215351243437
Inventdim,0.0085795108624403
Retaileodtransactionsalestrans,0.0084310603343968
Retailtransactionattributetrans,0.0081217125477055
Custinvoicejour,0.0078114964401782
Custsettlement,0.007490024551876
Creditcardauthtrans,0.0071006950300811
Inventreportdimhistory,0.0060325192291407
TaxtransReporting,0.005945366046496
Purchline,0.0057063746519501
Inventsum,0.0056789704982917
Inventvaluereporttmpline,0.0056317834959557
Retaileodstatementcontrollerlog,0.005570161358952
Salesparmline,0.0054828439573629
Subledgervouchergeneraljournalentry,0.0048818975086713
Retailtransactioninfocodetrans,0.0047365293086221
Mcrsalesline,0.0044480887370634
Retailtransactiondiscounttrans,0.0039356752700855
Subledgerjournalaccountentrydistribution,0.0037648729030226
Retaileodtransactionpaymenttrans,0.0034718621386302
Inventtransoriginsalesline,0.0034034220624103
Inventcosttrans,0.0032164219913271
Pricedisctable,0.0030544387004775
Pdsrebatecustinvoicetrans,0.0030496020015633
Vendtrans,0.0028571980557845
Vendinvoicetrans,0.0027844901965788
Retailloyaltycardrewardpointtrans,0.0027752092901579
Inventjournaltable,0.0026562744667737
Salesparmtable,0.0026013927278392
Retaileodtransactionaggregationheader,0.002568933086698
Vendinvoiceinfotable,0.0024317530513506
Custinvoicesaleslink,0.0024196564917879
Pricediscadmtrans,0.0023109829865766
Subledgerjournalaccountentry,0.0023001937961533
Retailsalestable,0.0021780302818712
Custtransidref,0.002153940801505
Retaileodtransactionaggregationtrans,0.0021120066965397
Retaillog,0.0020678035888253
Purchtable,0.0020511732960702
Retailtransactionfiscaltrans,0.0020281511387553
Whsinventreserve,0.0019989856442809
Vendsettlement,0.0019776103139445
Vendinvoiceinfoline,0.0019090130634212
Whsworkline,0.0018675485483132
Markuptrans,0.0017330945907895
Retaileodtransactioninfocodetrans,0.0016597585591354
Retailstatementvoucher,0.0016253645125843
Vendpackingsliptrans,0.0015547528242554
Creditcardcust,0.0015374660142339
Inventtransferline,0.0015045059172564
Taxworkregulation,0.0014276784886695
Inventtransoriginjournaltrans,0.0013761090869296
Generaljournalaccountentrydimension,0.0013602303500865
Retaileodstatementeventlog,0.0013211750302799
Mcrpricehistoryref,0.001282734168551
Taxuncommitted,0.0012584166816219
Retaileventnotificationlog,0.0012563469570416
Inventtransferjourline,0.0012558378349677
TaxtransW,0.0012504908518865
Custpackingsliptrans,0.0012484258823012
Inventitemprice,0.0012352812963088
Whssalesline,0.001220774610514
Retailsalesdiscountline,0.0012062875385339
Retailtransactionfiscaltransextendeddata,0.0011774445178513
Vendinvoicejour,0.0011311510348548
Purchlinehistory,0.0010674656477219
Generaljournalaccountentrysubledgerjournalaccountentry,0.001061958803348
Salesparmsubtable,0.0010334496062255
Mcrordereventtable,0.0010136517918984
Inventtransorigintransfer,0.0010057745234186
Forecastinvent,0.0009686104454178
Salesparmupdate,0.0009596599788806
Smmtranslog,0.0009339141030792
Ledgerentry,0.0009222588966676
Retailcustinvoicejourtable,0.0009046942163293
Custpackingslipbackorderline,0.0008905615074142
Purchparmtable,0.0008784195485241
Inventcountjour,0.0008621243063968
Saleslinedelete,0.0008091674848636
Forecastsales,0.0007724928532827
Whsworkinventtrans,0.0007532919153314
TaxtransIn,0.0007520598193525
Taxjournaltrans,0.0007372730380288
Retailtransactiontaxtransgte,0.0007221265101764
Retailtransactionaffiliationtrans,0.0007069824150972
Inventagingtmp,0.0007008598770933
Inventtransferparmline,0.0006978394932981
Purchparmline,0.0006960115730261
Whsworkusersessionlog,0.0006737927548668
Purchparmupdate,0.0006724328958648
Retailstatementjour,0.0006586982603467
Retailtransactiontaxmeasure,0.0006393035472588
Salesinvoiceheaderfootertmp,0.0006324032409419
Bankaccounttrans,0.0006220441234843
Inventtransarchive,0.0006130277166613
Custtransopen,0.0006081206346791
Inventledgerconflicttmpconflict,0.0006057486298315
Custconfirmtrans,0.0005821291873914
Wmsordertrans,0.0005673971507144
Retaileodstatementpaymentjournaltable,0.000535993543068
Retaillogtransactionreference,0.0005348287779227
Whsworktrans,0.0005250425735615
Inventitemlocation,0.0005106624873631
Tamvendrebatetable,0.0005054383450451
Whsloadline,0.0004959353622092
Inventtransoriginpurchline,0.0004823793813622
Inventtablemodule,0.0004657948096413
Sourcedocumentlinereferenceidentity,0.0004614035505198
Whsworktable,0.0004500555922296
Retaildlvmodeproductexploded,0.000431926686295
Custinvoicejourmigratedtmp,0.0004238192300649
Inventtransoriginassemblycomponent,0.0004179887492785
Reqtrans,0.0004121199413616
Tamvendrebatevendinvoicetrans,0.0004113701453177
Bomcalctrans,0.0004059896758224
Retailtransactionloyaltyrewardpointtrans,0.0004004781005537
Retailtransactionpricetrans,0.0003888447445459
CustinvoicejourW,0.0003871211339776
Retailtransactiontenderdeclarationtrans,0.0003861170241982
Inventtransferjour,0.0003855628842044
Tamrebatetrans,0.0003742511761306
Vendpurchorderjour,0.000367062196445
Vendinvoicepurchlink,0.0003561830499316
Inventdistinctproduct,0.0003434370013152
Retailgroupmemberline,0.0003378328527792
Retailperiodicdiscountline,0.0003374766410552
SalestableW,0.000329076067846
Vendinvoiceinfosubline,0.0003218889819855
Custpackingslipjour,0.000321874993355
Inventtransferparmtable,0.000314651610468
Retailstatementtrans,0.000313986496943
Domlogs,0.0003053089940195
VendpackingsliptransIntrastat,0.0003030973196021
GeneraljournalaccountentryW,0.0002964800455842
Mcrcustpaymevent,0.0002963156534576
Pdsvendbatchinfo,0.000295202343071
Vendinvoicepackingslipquantitymatch,0.0002874628526717
Reqtransfirmlog,0.0002854221910469
Purchparmsubtable,0.0002842520156065
Vendinvoiceinfomarkupmatchingtolerance,0.000278445835136
Whscontainertable,0.0002737635286092
Retaillistingstatuslog,0.0002663853810602
Inventitembarcode,0.0002654541160849
Retaileventnotificationaction,0.0002598787375626
Inventtransorigintransferreceive,0.0002536578003914
Vendinvoiceinfosubtable,0.0002536232190078
Inventtransorigintransfership,0.000251563615382
Wmsjournaltrans,0.0002501356006918
Reqitemjournaltrans,0.0002495386435487
Whsinventtransoriginworkfrom,0.0002440152238136
Whsinventtransoriginworkto,0.0002439198156162
CusttransW,0.0002431499825231
Custpackingslipbackorderlinehistory,0.0002398602820545
Inventtransorigintransfertransitto,0.0002398208273711
Inventtransorigintransfertransitfrom,0.0002396519956618
Sourcedocumentlinesubledgerjourerrorlog,0.0002354706662695
Mcrcustpaymtable,0.0002348564407693
Custinvoicepackingslipquantitymatch,0.0002317591280244
Retailcouponcodetable,0.0002296917323094
Retailinventitemlabel,0.0002279555525826
Inventsumlogtts,0.0002279375450581
Wmsorder,0.0002249376136137
Whsjourloadline,0.0002241642817635
Bomparmreportfinish,0.0002236222626439
Inventdimcombination,0.0002142738238399
Vendinvoicematchingline,0.0002132612768777
Inventtransfertable,0.0002072242711072
Whsinventtransferline,0.0002062503275693
VendinvoiceinfolineAsset,0.0002023516463398
Whspurchline,0.0002003903520043
TaxtransIt,0.0001924670554893
Custconfirmjour,0.0001892735355621
Reqitemtable,0.0001857896418877
Inventitemcostgrouprollup,0.0001851209260562
Retailtransactionmarkuptrans,0.0001808624404713
Retaillogfiscalregistrationline,0.0001803126125712
Whsasnitem,0.0001781104522505
PurchparmlineAsset,0.0001778535611105
Retailposbatchline,0.0001761912214337
Vendpackingslipjour,0.0001748419458654
Purchtableversion,0.0001732693549817
Taxdocumentgeneraljournalentrylink,0.0001731835872315
Retailposbatchtable,0.0001682262301899
Retailposbatchtendertrans,0.0001666583383494
Wmspickingroute,0.0001638800426374
Salesparmsubline,0.0001636143755812
Ledgertranssettlement,0.0001628542734105
Inventitempurchsetup,0.0001593442474344
Retaileodtransactiontenderdeclarationtrans,0.0001589013222488
SaleslineIn,0.0001526586425853
Inventiteminventsetup,0.0001511906505151
Inventitemsalessetup,0.0001510438850585
Retailsalesaffiliation,0.0001506698056412
Wmsbillofladingcarrier,0.0001489893967608
VendinvoiceinfolineW,0.000145779578133
Inventcosttransvariance,0.000139370516014
Retailloyaltycardrewardpointdeduction,0.0001388392478415
Purchtablehistory,0.0001356781803871
Whscontainerline,0.0001341173563958
Salestabledelete,0.0001325976804352
